location_id,latitude,longitude,elevation,parent_location_id
BART_015.tickPlot.tck,44.042146,-71.271613,455.2,BART
BART_002.tickPlot.tck,44.035239,-71.274681,501.3,BART
BART_011.tickPlot.tck,44.048783,-71.295353,399.5,BART
BART_010.tickPlot.tck,44.0511,-71.267761,411.9,BART
BART_019.tickPlot.tck,44.069348,-71.287994,232.3,BART
BART_029.tickPlot.tck,44.058949,-71.289334,292.2,BART
HARV_022.tickPlot.tck,42.435458,-72.199287,185.9,HARV
HARV_004.tickPlot.tck,42.426877,-72.227953,182.6,HARV
HARV_006.tickPlot.tck,42.401928,-72.2527,190.8,HARV
HARV_026.tickPlot.tck,42.412057,-72.246527,187.3,HARV
HARV_001.tickPlot.tck,42.424217,-72.260096,202.1,HARV
HARV_020.tickPlot.tck,42.438157,-72.228923,228.3,HARV
HARV_002.tickPlot.tck,42.477231,-72.259454,187.7,HARV
BLAN_015.tickPlot.tck,39.088729,-77.955492,125.9,BLAN
BLAN_012.tickPlot.tck,39.082719,-77.95959,134.9,BLAN
BLAN_005.tickPlot.tck,39.086224,-77.972736,168.3,BLAN
BLAN_008.tickPlot.tck,39.083875,-77.966321,159.2,BLAN
BLAN_004.tickPlot.tck,39.088416,-77.961331,123.7,BLAN
BLAN_002.tickPlot.tck,39.091474,-77.982149,145.6,BLAN
BLAN_020.tickPlot.tck,39.101651,-77.981855,159,BLAN
SCBI_005.tickPlot.tck,38.901865,-78.161944,261.6,SCBI
SCBI_006.tickPlot.tck,38.897079,-78.150277,277.5,SCBI
SCBI_013.tickPlot.tck,38.873041,-78.163313,361.3,SCBI
SCBI_007.tickPlot.tck,38.886022,-78.129368,427.4,SCBI
SCBI_002.tickPlot.tck,38.893863,-78.1427,329,SCBI
SCBI_039.tickPlot.tck,38.896433,-78.166542,330.8,SCBI
SERC_001.tickPlot.tck,38.868184,-76.535301,2.5,SERC
SERC_005.tickPlot.tck,38.894058,-76.546297,4.9,SERC
SERC_006.tickPlot.tck,38.880025,-76.548383,3,SERC
SERC_002.tickPlot.tck,38.896257,-76.55818,17.3,SERC
SERC_012.tickPlot.tck,38.880016,-76.561641,19.3,SERC
SERC_023.tickPlot.tck,38.873978,-76.535923,6.9,SERC
DSNY_001.tickPlot.tck,28.098062,-81.418561,20.3,DSNY
DSNY_004.tickPlot.tck,28.101022,-81.399501,18.7,DSNY
DSNY_005.tickPlot.tck,28.040497,-81.394482,16.6,DSNY
DSNY_002.tickPlot.tck,28.048725,-81.415426,17.2,DSNY
DSNY_006.tickPlot.tck,28.093704,-81.398045,20.1,DSNY
DSNY_008.tickPlot.tck,28.047337,-81.403204,18.8,DSNY
DSNY_021.tickPlot.tck,28.053635,-81.392353,17.1,DSNY
