location_ancillary_id,location_id,variable_name,value
BART_015.tickPlot.tck,BART_015.tickPlot.tck,domainID,D01
BART_015.tickPlot.tck,BART_015.tickPlot.tck,siteID,BART
BART_015.tickPlot.tck,BART_015.tickPlot.tck,plotID,BART_015
BART_015.tickPlot.tck,BART_015.tickPlot.tck,plotType,distributed
BART_015.tickPlot.tck,BART_015.tickPlot.tck,nlcdClass,mixedForest
BART_002.tickPlot.tck,BART_002.tickPlot.tck,domainID,D01
BART_002.tickPlot.tck,BART_002.tickPlot.tck,siteID,BART
BART_002.tickPlot.tck,BART_002.tickPlot.tck,plotID,BART_002
BART_002.tickPlot.tck,BART_002.tickPlot.tck,plotType,distributed
BART_002.tickPlot.tck,BART_002.tickPlot.tck,nlcdClass,deciduousForest
BART_011.tickPlot.tck,BART_011.tickPlot.tck,domainID,D01
BART_011.tickPlot.tck,BART_011.tickPlot.tck,siteID,BART
BART_011.tickPlot.tck,BART_011.tickPlot.tck,plotID,BART_011
BART_011.tickPlot.tck,BART_011.tickPlot.tck,plotType,distributed
BART_011.tickPlot.tck,BART_011.tickPlot.tck,nlcdClass,mixedForest
BART_010.tickPlot.tck,BART_010.tickPlot.tck,domainID,D01
BART_010.tickPlot.tck,BART_010.tickPlot.tck,siteID,BART
BART_010.tickPlot.tck,BART_010.tickPlot.tck,plotID,BART_010
BART_010.tickPlot.tck,BART_010.tickPlot.tck,plotType,distributed
BART_010.tickPlot.tck,BART_010.tickPlot.tck,nlcdClass,deciduousForest
BART_019.tickPlot.tck,BART_019.tickPlot.tck,domainID,D01
BART_019.tickPlot.tck,BART_019.tickPlot.tck,siteID,BART
BART_019.tickPlot.tck,BART_019.tickPlot.tck,plotID,BART_019
BART_019.tickPlot.tck,BART_019.tickPlot.tck,plotType,distributed
BART_019.tickPlot.tck,BART_019.tickPlot.tck,nlcdClass,mixedForest
BART_029.tickPlot.tck,BART_029.tickPlot.tck,domainID,D01
BART_029.tickPlot.tck,BART_029.tickPlot.tck,siteID,BART
BART_029.tickPlot.tck,BART_029.tickPlot.tck,plotID,BART_029
BART_029.tickPlot.tck,BART_029.tickPlot.tck,plotType,distributed
BART_029.tickPlot.tck,BART_029.tickPlot.tck,nlcdClass,evergreenForest
HARV_022.tickPlot.tck,HARV_022.tickPlot.tck,domainID,D01
HARV_022.tickPlot.tck,HARV_022.tickPlot.tck,siteID,HARV
HARV_022.tickPlot.tck,HARV_022.tickPlot.tck,plotID,HARV_022
