observation_ancillary_id,event_id,variable_name,value,unit
1,052cc471-f2b6-438c-813c-0046065899e3,targetTaxaPresent,N,NA
1,052cc471-f2b6-438c-813c-0046065899e3,totalSampledArea,160,squareMeters
1,052cc471-f2b6-438c-813c-0046065899e3,samplingMethod,drag and flag,NA
1,052cc471-f2b6-438c-813c-0046065899e3,samplingProtocolVersion,NEON.DOC.014045vD,NA
1,052cc471-f2b6-438c-813c-0046065899e3,remarks_field,QC: NO ERROR No ticks found. North to Northeast stretch is challenging- many fallen trees and a slope. Proceed with caution.,NA
2,ecdad2da-bbe4-40fa-9f70-6eea67ffca80,targetTaxaPresent,N,NA
2,ecdad2da-bbe4-40fa-9f70-6eea67ffca80,totalSampledArea,180,squareMeters
2,ecdad2da-bbe4-40fa-9f70-6eea67ffca80,samplingMethod,drag and flag,NA
2,ecdad2da-bbe4-40fa-9f70-6eea67ffca80,samplingProtocolVersion,NEON.DOC.014045vD,NA
2,ecdad2da-bbe4-40fa-9f70-6eea67ffca80,remarks_field,QC: NO ERROR; To get to plot: take Attitash trail along the stream. Plot is on the left; one additional stream crossing required after leaving trail.,NA
3,042a61cf-2a9e-4128-9b5c-49af455e422f,targetTaxaPresent,Y,NA
3,042a61cf-2a9e-4128-9b5c-49af455e422f,totalSampledArea,160,squareMeters
3,042a61cf-2a9e-4128-9b5c-49af455e422f,samplingMethod,drag and flag,NA
3,042a61cf-2a9e-4128-9b5c-49af455e422f,samplingProtocolVersion,NEON.DOC.014045vD,NA
3,042a61cf-2a9e-4128-9b5c-49af455e422f,remarks_field,NA,NA
4,689c15ab-b6ed-4f7b-87f8-6022cd2737ad,targetTaxaPresent,N,NA
4,689c15ab-b6ed-4f7b-87f8-6022cd2737ad,totalSampledArea,165,squareMeters
4,689c15ab-b6ed-4f7b-87f8-6022cd2737ad,samplingMethod,drag and flag,NA
4,689c15ab-b6ed-4f7b-87f8-6022cd2737ad,samplingProtocolVersion,NEON.DOC.014045vD,NA
4,689c15ab-b6ed-4f7b-87f8-6022cd2737ad,remarks_field,QC: NO ERROR JH,NA
5,e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,targetTaxaPresent,N,NA
5,e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,totalSampledArea,168,squareMeters
5,e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,samplingMethod,drag and flag,NA
5,e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,samplingProtocolVersion,NEON.DOC.014045vD,NA
5,e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,remarks_field,QC: NO ERROR JH,NA
6,d59e0262-7e6f-456c-aa83-3c331fe01717,targetTaxaPresent,N,NA
6,d59e0262-7e6f-456c-aa83-3c331fe01717,totalSampledArea,170,squareMeters
6,d59e0262-7e6f-456c-aa83-3c331fe01717,samplingMethod,drag and flag,NA
6,d59e0262-7e6f-456c-aa83-3c331fe01717,samplingProtocolVersion,NEON.DOC.014045vD,NA
6,d59e0262-7e6f-456c-aa83-3c331fe01717,remarks_field,QC: NO ERROR JH,NA
7,48822032-77e2-489d-b3ab-892aaf9713d9,targetTaxaPresent,N,NA
7,48822032-77e2-489d-b3ab-892aaf9713d9,totalSampledArea,172,squareMeters
7,48822032-77e2-489d-b3ab-892aaf9713d9,samplingMethod,drag and flag,NA
7,48822032-77e2-489d-b3ab-892aaf9713d9,samplingProtocolVersion,NEON.DOC.014045vD,NA
7,48822032-77e2-489d-b3ab-892aaf9713d9,remarks_field,Stream running through W side next to trail--and water running through trail; also stream running through E side of plot,NA
8,85e86e16-a026-4ff2-be7b-fa0aa748083e,targetTaxaPresent,N,NA
8,85e86e16-a026-4ff2-be7b-fa0aa748083e,totalSampledArea,160,squareMeters
8,85e86e16-a026-4ff2-be7b-fa0aa748083e,samplingMethod,drag and flag,NA
8,85e86e16-a026-4ff2-be7b-fa0aa748083e,samplingProtocolVersion,NEON.DOC.014045vD,NA
8,85e86e16-a026-4ff2-be7b-fa0aa748083e,remarks_field,QC: NO ERROR,NA
9,4b85c2f4-91b5-4431-b1b2-bf8faa770807,targetTaxaPresent,N,NA
9,4b85c2f4-91b5-4431-b1b2-bf8faa770807,totalSampledArea,162,squareMeters
9,4b85c2f4-91b5-4431-b1b2-bf8faa770807,samplingMethod,drag and flag,NA
9,4b85c2f4-91b5-4431-b1b2-bf8faa770807,samplingProtocolVersion,NEON.DOC.014045vD,NA
9,4b85c2f4-91b5-4431-b1b2-bf8faa770807,remarks_field,NA,NA
10,fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,targetTaxaPresent,N,NA
10,fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,totalSampledArea,167,squareMeters
10,fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,samplingMethod,drag and flag,NA
10,fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,samplingProtocolVersion,NEON.DOC.014045vD,NA
10,fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,remarks_field,NA,NA
11,e8440da6-8e8d-43ba-af15-76b719ac5120,targetTaxaPresent,N,NA
11,e8440da6-8e8d-43ba-af15-76b719ac5120,totalSampledArea,160,squareMeters
11,e8440da6-8e8d-43ba-af15-76b719ac5120,samplingMethod,drag and flag,NA
11,e8440da6-8e8d-43ba-af15-76b719ac5120,samplingProtocolVersion,NEON.DOC.014045vD,NA
11,e8440da6-8e8d-43ba-af15-76b719ac5120,remarks_field,QC: NO ERROR,NA
12,5b62dd74-5705-49de-a5da-7e5b68d53ccc,targetTaxaPresent,N,NA
12,5b62dd74-5705-49de-a5da-7e5b68d53ccc,totalSampledArea,160,squareMeters
12,5b62dd74-5705-49de-a5da-7e5b68d53ccc,samplingMethod,drag and flag,NA
12,5b62dd74-5705-49de-a5da-7e5b68d53ccc,samplingProtocolVersion,NEON.DOC.014045vD,NA
12,5b62dd74-5705-49de-a5da-7e5b68d53ccc,remarks_field,possible tick collected; determined not to be a tick in the lab,NA
13,1f2c5705-fbe9-414a-af2a-5a464a2150b1,targetTaxaPresent,N,NA
13,1f2c5705-fbe9-414a-af2a-5a464a2150b1,totalSampledArea,160,squareMeters
13,1f2c5705-fbe9-414a-af2a-5a464a2150b1,samplingMethod,drag and flag,NA
13,1f2c5705-fbe9-414a-af2a-5a464a2150b1,samplingProtocolVersion,NEON.DOC.014045vD,NA
13,1f2c5705-fbe9-414a-af2a-5a464a2150b1,remarks_field,road running through flag/drag path that was very wet -3m; also stream running across plot -3m,NA
14,b689178b-fe79-43e9-a6ed-fb9c185cf929,targetTaxaPresent,N,NA
14,b689178b-fe79-43e9-a6ed-fb9c185cf929,totalSampledArea,163,squareMeters
14,b689178b-fe79-43e9-a6ed-fb9c185cf929,samplingMethod,drag and flag,NA
14,b689178b-fe79-43e9-a6ed-fb9c185cf929,samplingProtocolVersion,NEON.DOC.014045vD,NA
14,b689178b-fe79-43e9-a6ed-fb9c185cf929,remarks_field,NA,NA
15,5a574017-217c-4319-8380-1c73c5b2b795,targetTaxaPresent,N,NA
15,5a574017-217c-4319-8380-1c73c5b2b795,totalSampledArea,161,squareMeters
15,5a574017-217c-4319-8380-1c73c5b2b795,samplingMethod,drag and flag,NA
15,5a574017-217c-4319-8380-1c73c5b2b795,samplingProtocolVersion,NEON.DOC.014045vD,NA
15,5a574017-217c-4319-8380-1c73c5b2b795,remarks_field,QC: No error EME,NA
16,d4c6eb30-b8bd-4407-beb7-7e700625ca05,targetTaxaPresent,N,NA
16,d4c6eb30-b8bd-4407-beb7-7e700625ca05,totalSampledArea,163,squareMeters
16,d4c6eb30-b8bd-4407-beb7-7e700625ca05,samplingMethod,drag and flag,NA
16,d4c6eb30-b8bd-4407-beb7-7e700625ca05,samplingProtocolVersion,NEON.DOC.014045vD,NA
16,d4c6eb30-b8bd-4407-beb7-7e700625ca05,remarks_field,NA,NA
17,1ad41d25-5566-440f-9893-2b762d164562,targetTaxaPresent,N,NA
17,1ad41d25-5566-440f-9893-2b762d164562,totalSampledArea,165,squareMeters
17,1ad41d25-5566-440f-9893-2b762d164562,samplingMethod,drag and flag,NA
17,1ad41d25-5566-440f-9893-2b762d164562,samplingProtocolVersion,NEON.DOC.014045vD,NA
17,1ad41d25-5566-440f-9893-2b762d164562,remarks_field,QC: No error EME,NA
18,a395cc52-7aa3-4f7e-9912-0914e7ffbb89,targetTaxaPresent,N,NA
18,a395cc52-7aa3-4f7e-9912-0914e7ffbb89,totalSampledArea,165,squareMeters
18,a395cc52-7aa3-4f7e-9912-0914e7ffbb89,samplingMethod,drag and flag,NA
18,a395cc52-7aa3-4f7e-9912-0914e7ffbb89,samplingProtocolVersion,NEON.DOC.014045vD,NA
18,a395cc52-7aa3-4f7e-9912-0914e7ffbb89,remarks_field,QC: No error EME,NA
19,b0c9a4e6-317b-4678-aad1-addaf4ee4a49,targetTaxaPresent,N,NA
19,b0c9a4e6-317b-4678-aad1-addaf4ee4a49,totalSampledArea,162,squareMeters
19,b0c9a4e6-317b-4678-aad1-addaf4ee4a49,samplingMethod,drag and flag,NA
19,b0c9a4e6-317b-4678-aad1-addaf4ee4a49,samplingProtocolVersion,NEON.DOC.014045vD,NA
19,b0c9a4e6-317b-4678-aad1-addaf4ee4a49,remarks_field,QC: No error EME,NA
20,a789d9cf-3163-4084-bad7-b83be4229dfb,targetTaxaPresent,N,NA
